,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
560,NISSAN Qashqai  DIG-T 103 KW (140 CV) E6D 6M/T 4X2,NISSAN,Qashqai,,4x2,20900.0,2019-11-01,Gasolina,0.0,,Manual,140.0,0.0,-,C,6
561,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,12490.0,2017-01-01,Diesel,33984.0,Todo Terreno,Manual,110.0,12.0,Blanco,C,40
562,NISSAN Qashqai 1.3 DIG-T 103KW Q-LINE 140 5P,NISSAN,Qashqai,,4x2,23900.0,2019-08-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,Negro Metalizado,C,9
563,NISSAN Qashqai 1.6dCi 360 4x2 XTronic,NISSAN,Qashqai,,4x2,16500.0,2015-10-01,Diesel,114000.0,Todo Terreno,Automático,130.0,12.0,Blanco,C,55
564,NISSAN Qashqai Q+2 1.5dCi Tekna Sport 4x2 17´´,NISSAN,Qashqai,Tekna,4x2,7200.0,2009-09-01,Diesel,220000.0,Todo Terreno,Manual,104.0,0.0,Blanco,B,128
565,NISSAN Qashqai 1.3DIG-T 140CV 2WD MT EURO6D ACENTA,NISSAN,Qashqai,Acenta,4x2,19500.0,2019-09-01,Gasolina,1.0,"4x4, SUV o pickup",Manual,140.0,12.0,Gris Metalizado,C,8
566,NISSAN Qashqai 1.2 DIG-T N-CONNECTA 5P,NISSAN,Qashqai,N-Connecta,4x2,16500.0,2018-05-01,Gasolina,14562.0,Berlina mediana o grande,Manual,115.0,12.0,BLANCO PERLADO,C,24
567,NISSAN X-Trail 2.0 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,26990.0,2018-01-01,Diesel,14500.0,Todo Terreno,Automático,177.0,12.0,Rojo                 / Metalizado,C,28
568,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18900.0,2018-06-01,Gasolina,17058.0,Todo Terreno,Manual,115.0,12.0,BLANCO PERLADO,C,23
569,NISSAN X-Trail Todoterreno 150cv Manual de 5 Puertas,NISSAN,X-Trail,,4x2,21900.0,2019-05-01,Diesel,20.0,"4x4, SUV o pickup",Manual,150.0,36.0,Rojo Volcán (sólido),C,12
570,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,11990.0,2017-01-01,Gasolina,79205.0,Todo Terreno,Automático,117.0,12.0,Negro                 / Metalizado,C,40
571,NISSAN X-Trail 1.6 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,17490.0,2017-01-01,Diesel,99990.0,Todo Terreno,Manual,130.0,12.0,Plata,C,40
572,NISSAN Qashqai dCi 81 kW (110 CV) ACENTA,NISSAN,Qashqai,Acenta,4x2,17200.0,2017-12-01,Diesel,28000.0,"4x4, SUV o pickup",Manual,110.0,12.0,-,C,29
573,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,14900.0,2019-03-01,Diesel,15401.0,Todo Terreno,Manual,110.0,12.0,PLATA,C,14
574,NISSAN X-Trail 1.7 dCi N-Connecta 4x2 CVT,NISSAN,X-Trail,N-Connecta,4x2,27500.0,2019-09-01,Diesel,1.0,Todo Terreno,Automático,150.0,12.0,Blanco Perlado Metalizado,C,8
575,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-06-01,Gasolina,12500.0,Berlina mediana o grande,Manual,140.0,0.0,Rojo Fusion Metalizado,C,11
576,NISSAN Qashqai 2.0dCi Tekna Sport 4x4 A/T 18´´,NISSAN,Qashqai,Tekna,4x4,11990.0,2012-01-01,Diesel,68573.0,Todo Terreno,Automático,150.0,12.0,Plata Cosmos Metalizado,B,100
577,NISSAN X-Trail  dCi 130CV (96kW) XTRONIC 360,NISSAN,X-Trail,,4x2,13950.0,2015-08-01,Diesel,186730.0,"4x4, SUV o pickup",Automático,130.0,12.0,Blanco,C,57
578,NISSAN Leaf 40 kWh Acenta,NISSAN,Leaf,Acenta,4x2,28200.0,2020-02-01,Eléctrico,85.0,Berlina,Automático,150.0,Sí,Negro (metalizado)                 / Metalizado,0 EMISIONES,3
579,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11300.0,2017-03-01,Diesel,38718.0,Todo Terreno,Manual,110.0,12.0,Blanco,C,38
580,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,9400.0,2017-05-01,Gasolina,69591.0,Berlina,Manual,90.0,12.0,-,C,36
581,NISSAN Qashqai NUEVO  5P DCI 81 KW (110 CV) 6M/T 4X2 TEKNA,NISSAN,Qashqai,Tekna,4x2,20900.0,2018-09-01,Diesel,11000.0,Berlina mediana o grande,Manual,110.0,0.0,Blanco Perlado Metalizado,C,20
